season,date,playoff,neutral,status,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,commissioners_cup_final
2022,2022-05-06,0,0,post,Washington Mystics,Indiana Fever,WAS,IND,1461.82429286594,1407.52639678535,0.684186962843101,0.315813037156899,84,70,1472.09419756413,1397.25649208716,0
2022,2022-05-06,0,0,post,Chicago Sky,Los Angeles Sparks,CHI,LAS,1578.40273473663,1469.11359928451,0.748313144319154,0.251686855680846,91,98,1557.6300257222,1489.88630829894,0
2022,2022-05-06,0,0,post,Phoenix Mercury,Las Vegas Aces,PHO,LVA,1544.27324830237,1568.6569308957,0.579361601958065,0.420638398041935,88,106,1518.41565719645,1594.51452200162,0
2022,2022-05-06,0,0,post,Seattle Storm,Minnesota Lynx,SEA,MIN,1526.8180465092,1547.5848737523,0.584426990834377,0.415573009165623,97,74,1546.89120860449,1527.51171165701,0
2022,2022-05-07,0,0,post,New York Liberty,Connecticut Sun,NYL,CON,1428.02952140484,1583.14202225174,0.393557601207895,0.606442398792105,81,79,1436.75875385496,1574.41278980162,0
2022,2022-05-07,0,0,post,Dallas Wings,Atlanta Dream,DAL,ATL,1470.19893379827,1414.42212179267,0.68602358979616,0.31397641020384,59,66,1452.06994258761,1432.55111300333,0
2022,2022-05-08,0,0,post,Indiana Fever,Los Angeles Sparks,IND,LAS,1397.25649208716,1489.88630829894,0.481832235210272,0.518167764789728,77,87,1383.39591624344,1503.74688414266,0
2022,2022-05-08,0,0,post,Minnesota Lynx,Washington Mystics,MIN,WAS,1527.51171165701,1472.09419756413,0.685577919763051,0.314422080236949,66,78,1502.46075037784,1497.1451588433,0
2022,2022-05-08,0,0,post,Las Vegas Aces,Seattle Storm,LVA,SEA,1594.51452200162,1546.89120860449,0.675826790805627,0.324173209194373,85,74,1603.58344775104,1537.82228285507,0
2022,2022-05-10,0,0,post,Indiana Fever,Minnesota Lynx,IND,MIN,1383.39591624344,1502.46075037784,0.444016902836212,0.555983097163788,82,76,1395.82220626646,1490.03446035482,0
2022,2022-05-10,0,0,post,Washington Mystics,Las Vegas Aces,WAS,LVA,1497.1451588433,1603.58344775104,0.462025512949153,0.537974487050847,89,76,1516.00068123687,1584.72792535747,0
2022,2022-05-11,0,0,post,Atlanta Dream,Los Angeles Sparks,ATL,LAS,1432.55111300333,1503.74688414266,0.512667592464298,0.487332407535702,77,75,1439.0982267174,1497.19977042859,0
2022,2022-05-11,0,0,post,Chicago Sky,New York Liberty,CHI,NYL,1557.6300257222,1436.75875385496,0.760661210345463,0.239338789654537,83,50,1571.16423820647,1423.22454137069,0
2022,2022-05-11,0,0,post,Phoenix Mercury,Seattle Storm,PHO,SEA,1518.41565719645,1537.82228285507,0.586327401044078,0.413672598955922,97,77,1536.51145923353,1519.72648081799,0
2022,2022-05-13,0,0,post,Washington Mystics,Dallas Wings,WAS,DAL,1516.00068123687,1452.06994258761,0.69604442534531,0.30395557465469,86,94,1496.00318767892,1472.06743614556,0
2022,2022-05-13,0,0,post,Atlanta Dream,Las Vegas Aces,ATL,LVA,1439.0982267174,1584.72792535747,0.406658846805299,0.593341153194701,73,96,1419.55114108526,1604.27501098961,0
2022,2022-05-13,0,0,post,New York Liberty,Indiana Fever,NYL,IND,1423.22454137069,1395.82220626646,0.649822149459235,0.350177850540765,86,92,1407.83229639715,1411.21445124,0
2022,2022-05-14,0,0,post,Seattle Storm,Phoenix Mercury,SEA,PHO,1519.72648081799,1536.51145923353,0.589982955299281,0.410017044700719,64,69,1507.48183591875,1548.75610413277,0
2022,2022-05-14,0,0,post,Connecticut Sun,Los Angeles Sparks,CON,LAS,1574.41278980162,1497.19977042859,0.711974050657694,0.288025949342306,77,60,1584.90585930983,1486.70670092038,0
2022,2022-05-14,0,0,post,Minnesota Lynx,Chicago Sky,MIN,CHI,1490.03446035482,1571.16423820647,0.498374124705889,0.501625875294111,78,82,1481.21710511855,1579.98159344274,0
2022,2022-05-15,0,0,post,New York Liberty,Dallas Wings,NYL,DAL,1407.83229639715,1472.06743614556,0.522671900169432,0.477328099830568,71,81,1392.45100825363,1487.44872428908,0
2022,2022-05-15,0,0,post,Indiana Fever,Atlanta Dream,IND,ATL,1411.21445124,1419.55114108526,0.601693692724103,0.398306307275897,79,85,1397.3944892997,1433.37110302556,0
2022,2022-05-17,0,0,post,New York Liberty,Connecticut Sun,NYL,CON,1392.45100825363,1584.90585930983,0.343588725372069,0.656411274627931,65,92,1374.56882383292,1602.78804373054,0
2022,2022-05-17,0,0,post,Indiana Fever,Atlanta Dream,IND,ATL,1397.3944892997,1433.37110302556,0.563017849320034,0.436982150679966,79,101,1368.78289453773,1461.98269778753,0
2022,2022-05-17,0,0,post,Dallas Wings,Washington Mystics,DAL,WAS,1487.44872428908,1496.00318767892,0.601393217427815,0.398606782572185,68,84,1462.34035367032,1521.11155829768,0
2022,2022-05-17,0,0,post,Las Vegas Aces,Phoenix Mercury,LVA,PHO,1604.27501098961,1548.75610413277,0.685703721161132,0.314296278838868,86,74,1613.51361964227,1539.51749548011,0
2022,2022-05-17,0,0,post,Los Angeles Sparks,Minnesota Lynx,LAS,MIN,1486.70670092038,1481.21710511855,0.620605174767964,0.379394825232036,84,87,1476.27873025631,1491.64507578262,0
2022,2022-05-18,0,0,post,Seattle Storm,Chicago Sky,SEA,CHI,1507.48183591875,1579.98159344274,0.510792040200815,0.489207959799185,74,71,1515.09408899784,1572.36934036365,0
